,Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore,Buy,Sell
280,2023-06-10 12:00:00,1747.95,1747.96,1738.44,1739.69,10450.8825,2023-06-10 12:59:59.999,18213182.216832,21527,4626.9158,8063600.143934,0,False,True
281,2023-06-10 13:00:00,1739.68,1745.69,1737.33,1743.47,9704.0781,2023-06-10 13:59:59.999,16902292.638454,21441,4637.2906,8076452.589884,0,False,True
282,2023-06-10 14:00:00,1743.48,1747.48,1740.0,1744.12,10001.9293,2023-06-10 14:59:59.999,17432424.8406,20066,4898.168,8536863.064595,0,False,True
283,2023-06-10 15:00:00,1744.13,1744.35,1732.85,1737.39,11707.5457,2023-06-10 15:59:59.999,20373998.143622,19168,4852.9611,8444583.613716,0,False,True
284,2023-06-10 16:00:00,1737.39,1740.49,1731.99,1733.02,15395.4274,2023-06-10 16:59:59.999,26718025.234867,21555,8084.6862,14028247.277049,0,False,True
285,2023-06-10 17:00:00,1733.01,1773.03,1718.5,1760.17,67289.6754,2023-06-10 17:59:59.999,117747880.737792,73300,33518.1634,58660882.269851,0,False,False
286,2023-06-10 18:00:00,1760.16,1762.14,1725.0,1733.48,28021.1753,2023-06-10 18:59:59.999,48797480.076376,42628,13873.8639,24155493.07297,0,False,False
287,2023-06-10 19:00:00,1733.48,1745.17,1732.51,1744.48,8530.6878,2023-06-10 19:59:59.999,14834081.543769,17102,4763.7794,8284391.89914,0,False,False
288,2023-06-10 20:00:00,1744.48,1747.74,1738.59,1742.79,10601.2109,2023-06-10 20:59:59.999,18473920.391687,16306,5668.8324,9877720.669136,0,False,False
289,2023-06-10 21:00:00,1742.78,1745.85,1739.15,1744.62,4976.3592,2023-06-10 21:59:59.999,8672243.337576,11247,2897.1944,5048811.115621,0,False,False
290,2023-06-10 22:00:00,1744.63,1757.58,1743.6,1753.89,8657.4683,2023-06-10 22:59:59.999,15161531.74855,14869,4232.1574,7409863.664124,0,False,False
291,2023-06-10 23:00:00,1753.88,1754.99,1751.0,1751.53,4659.5989,2023-06-10 23:59:59.999,8164953.958827,10288,2161.509,3787479.540842,0,False,False
292,2023-06-11 00:00:00,1751.52,1752.35,1745.0,1745.72,8914.1164,2023-06-11 00:59:59.999,15591901.94898,16302,3773.4964,6600169.446792,0,False,False
293,2023-06-11 01:00:00,1745.72,1751.98,1743.64,1749.49,7281.7474,2023-06-11 01:59:59.999,12727819.229827,13292,3725.0507,6511673.497634,0,False,False
294,2023-06-11 02:00:00,1749.49,1750.15,1745.0,1749.56,7441.8795,2023-06-11 02:59:59.999,13007143.644974,11295,2494.5472,4359730.758116,0,False,False
295,2023-06-11 03:00:00,1749.55,1752.46,1747.74,1751.55,7359.3172,2023-06-11 03:59:59.999,12880568.301019,10758,3847.2315,6733691.93631,0,False,False
296,2023-06-11 04:00:00,1751.55,1757.19,1743.88,1754.01,8602.8133,2023-06-11 04:59:59.999,15051784.258349,16413,3920.1273,6858967.666666,0,False,False
